1;1;W;3
1;4;L;2
1;8;W;3
1;12;L;2
1;15;W;3
2;2;W;2
2;6;L;3
2;10;L;3
2;14;W;2
3;3;W;2
3;7;L;2
3;9;L;2
3;13;W;2
4;1;L;2
4;4;W;2
4;8;L;2
4;12;W;2
4;15;L;2
5;5;W;2
5;11;W;2
6;2;L;3
6;6;L;3
6;10;L;3
6;14;L;3
7;3;L;2
7;7;L;2
7;9;L;2
7;13;L;2
8;8;W;2
8;1;W;3
8;4;L;2
8;12;L;2
8;15;W;3
15;1;W;3
15;4;L;2
15;8;W;3
15;12;L;2
15;15;W;3
14;2;W;2
14;6;L;3
14;10;L;3
14;14;W;2
13;3;W;2
13;7;L;2
13;9;L;2
13;13;W;2
12;1;L;2
12;4;W;2
12;8;L;2
12;12;W;2
12;15;L;2
11;5;W;2
11;11;W;2
10;2;L;3
10;6;L;3
10;10;L;3
10;14;L;3
9;3;L;2
9;7;L;2
9;9;L;2
9;13;L;2
